param,code,name,category,variant,return_2025,drawdown_2025,return_2026,drawdown_2026
12/26/9,510500,中证500ETF,宽基,original,12.93%,-10.62%,9.88%,-5.62%
12/26/9,159915,创业板ETF,宽基,original,50.76%,-6.01%,11.39%,-6.68%
12/26/9,588080,科创板50ETF,宽基,original,21.60%,-12.56%,27.76%,-7.51%
12/26/9,588200,科创芯片ETF嘉实,科技,original,-0.24%,-4.84%,31.77%,-13.70%
12/26/9,159819,人工智能ETF易方达,科技,original,43.53%,-12.21%,25.16%,-5.07%
12/26/9,159530,机器人ETF易方达,机器人,original,5.80%,-11.15%,13.97%,-6.38%
12/26/9,512400,有色金属ETF南方,有色金属,original,47.85%,-6.41%,5.09%,-3.94%
12/26/9,515880,通信ETF国泰,通信,original,16.76%,-7.62%,33.91%,-8.67%
12/26/9,515700,新能车ETF,新能源,original,6.90%,-9.09%,11.45%,-7.59%
12/26/9,512660,军工ETF,军工,original,21.21%,-13.18%,6.90%,-4.86%
14/26/9,510500,中证500ETF,宽基,original,11.51%,-11.75%,9.88%,-5.62%
14/26/9,159915,创业板ETF,宽基,original,46.89%,-7.42%,12.17%,-6.02%
14/26/9,588080,科创板50ETF,宽基,original,21.60%,-12.56%,27.76%,-7.51%
14/26/9,588200,科创芯片ETF嘉实,科技,original,-0.24%,-4.84%,31.77%,-13.70%
14/26/9,159819,人工智能ETF易方达,科技,original,43.53%,-12.21%,25.16%,-5.07%
14/26/9,159530,机器人ETF易方达,机器人,original,5.80%,-11.15%,13.97%,-6.38%
14/26/9,512400,有色金属ETF南方,有色金属,original,47.85%,-6.41%,5.09%,-3.94%
14/26/9,515880,通信ETF国泰,通信,original,17.86%,-7.60%,32.42%,-11.67%
14/26/9,515700,新能车ETF,新能源,original,8.34%,-9.10%,11.45%,-7.59%
14/26/9,512660,军工ETF,军工,original,23.12%,-13.19%,6.90%,-4.86%
10/18/5,510500,中证500ETF,宽基,cash,0.00%,0.00%,0.00%,0.00%
10/18/5,159915,创业板ETF,宽基,original,45.85%,-8.73%,14.20%,-7.34%
10/18/5,588080,科创板50ETF,宽基,original,23.53%,-13.69%,27.10%,-7.54%
10/18/5,588200,科创芯片ETF嘉实,科技,original,29.23%,-15.50%,31.77%,-13.70%
10/18/5,159819,人工智能ETF易方达,科技,original,41.95%,-12.51%,23.98%,-5.06%
10/18/5,159530,机器人ETF易方达,机器人,original,11.77%,-8.59%,16.77%,-6.81%
10/18/5,512400,有色金属ETF南方,有色金属,original,35.57%,-14.36%,3.95%,-10.34%
10/18/5,515880,通信ETF国泰,通信,original,99.63%,-13.28%,33.91%,-8.67%
10/18/5,515700,新能车ETF,新能源,trend_exit2,-5.52%,-10.00%,0.00%,0.00%
10/18/5,512660,军工ETF,军工,original,20.36%,-12.29%,2.56%,-9.44%
10/20/7,510500,中证500ETF,宽基,cash,0.00%,0.00%,0.00%,0.00%
10/20/7,159915,创业板ETF,宽基,original,47.54%,-7.42%,11.39%,-6.68%
10/20/7,588080,科创板50ETF,宽基,original,14.47%,-13.69%,26.59%,-7.52%
10/20/7,588200,科创芯片ETF嘉实,科技,original,25.68%,-15.50%,31.77%,-13.70%
10/20/7,159819,人工智能ETF易方达,科技,original,38.36%,-12.51%,23.86%,-5.06%
10/20/7,159530,机器人ETF易方达,机器人,original,5.90%,-11.05%,13.68%,-6.38%
10/20/7,512400,有色金属ETF南方,有色金属,original,37.61%,-12.10%,5.09%,-3.94%
10/20/7,515880,通信ETF国泰,通信,original,17.29%,-7.60%,33.91%,-8.67%
10/20/7,515700,新能车ETF,新能源,trend_exit2,-6.81%,-10.01%,0.00%,0.00%
10/20/7,512660,军工ETF,军工,original,19.91%,-12.30%,3.33%,-9.44%
