code,start,end,start_equity,end_equity,total_return,max_drawdown,trade_count
510050,2024-01-03,2026-06-18,100000.0,104343.59,4.34%,-9.04%,96
510300,2024-01-03,2026-06-18,100000.0,108830.94,8.83%,-10.12%,82
510500,2024-01-03,2026-06-18,100000.0,132943.11,32.94%,-10.60%,77
512100,2024-01-03,2026-06-18,100000.0,123108.7,23.11%,-13.77%,66
159915,2024-01-03,2026-06-18,100000.0,238300.39,138.30%,-25.49%,62
159949,2024-01-03,2026-06-18,100000.0,181177.92,81.18%,-25.35%,69
588000,2024-01-03,2026-06-18,100000.0,231039.29,131.04%,-19.03%,83
588080,2024-01-03,2026-06-18,100000.0,254159.91,154.16%,-18.23%,82
512880,2024-01-03,2026-06-18,100000.0,117366.47,17.37%,-19.44%,95
512800,2024-01-03,2026-06-18,100000.0,55010.2,-44.99%,-53.91%,78
512070,2024-01-03,2026-06-18,100000.0,97854.48,-2.15%,-13.20%,77
510880,2024-01-03,2026-06-18,100000.0,108711.58,8.71%,-6.04%,79
515180,2024-01-03,2026-06-18,100000.0,100841.3,0.84%,-9.11%,83
159928,2024-01-03,2026-06-18,100000.0,105227.4,5.23%,-9.15%,93
512600,2024-01-03,2026-06-18,100000.0,107256.97,7.26%,-8.98%,88
512010,2024-01-03,2026-06-18,100000.0,101922.53,1.92%,-21.38%,110
512170,2024-01-03,2026-06-18,100000.0,107362.03,7.36%,-16.28%,96
512480,2024-01-03,2026-06-18,100000.0,188917.29,88.92%,-13.88%,69
515050,2024-01-03,2026-06-18,100000.0,152927.85,52.93%,-16.09%,65
515700,2024-01-03,2026-06-18,100000.0,143229.73,43.23%,-18.77%,88
515790,2024-01-03,2026-06-18,100000.0,124849.2,24.85%,-21.60%,100
516160,2024-01-03,2026-06-18,100000.0,88720.57,-11.28%,-22.91%,92
512660,2024-01-03,2026-06-18,100000.0,195314.28,95.31%,-15.10%,88
512690,2024-01-03,2026-06-18,100000.0,89742.25,-10.26%,-21.54%,105
