code,name,category,total_return,max_drawdown,trade_count,end_equity
515050,5GETF,科技,43.89%,-11.91%,28,143890.87
159949,创业板50ETF,宽基,42.03%,-25.35%,33,142026.55
588000,科创50ETF,宽基,41.74%,-19.03%,34,141738.43
588080,科创板50ETF,宽基,39.19%,-18.23%,36,139194.93
512660,军工ETF,军工,39.02%,-13.40%,28,139018.67
512480,半导体ETF,科技,37.85%,-8.96%,24,137845.66
159915,创业板ETF,宽基,36.08%,-25.49%,30,136075.2
512880,证券ETF,金融,35.49%,-10.75%,31,135490.06
515790,光伏ETF,新能源,13.24%,-21.60%,52,113239.36
515700,新能车ETF,新能源,12.69%,-18.77%,47,112693.11
512800,银行ETF,金融,11.08%,-2.35%,7,111078.56
512010,医药ETF,医药,10.83%,-17.99%,38,110825.9
512170,医疗ETF,医药,9.81%,-16.28%,40,109807.57
510300,沪深300ETF,宽基,6.39%,-3.33%,29,106389.03
510880,红利ETF,红利,5.56%,-3.27%,20,105557.34
512600,主要消费ETF,消费,4.03%,-6.37%,23,104028.71
159928,消费ETF,消费,2.79%,-7.25%,25,102786.15
510500,中证500ETF,宽基,2.72%,-8.71%,35,102716.97
510050,上证50ETF,宽基,2.49%,-2.89%,27,102494.51
512100,中证1000ETF,宽基,1.78%,-10.94%,32,101780.04
512690,酒ETF,消费,1.64%,-8.08%,26,101641.02
515180,红利ETF易方达,红利,0.36%,-8.88%,30,100360.74
512070,非银ETF,金融,0.12%,-0.89%,11,100122.5
516160,新能源ETF,新能源,-16.96%,-21.94%,51,83044.59
