code,name,category,start,end,total_return,max_drawdown,trade_count,end_equity
588080,科创板50ETF,宽基,2024-01-03,2026-06-18,154.16%,-18.23%,82,254159.91
159915,创业板ETF,宽基,2024-01-03,2026-06-18,138.30%,-25.49%,62,238300.39
588000,科创50ETF,宽基,2024-01-03,2026-06-18,131.04%,-19.03%,83,231039.29
512660,军工ETF,军工,2024-01-03,2026-06-18,95.31%,-15.10%,88,195314.28
512480,半导体ETF,科技,2024-01-03,2026-06-18,88.92%,-13.88%,69,188917.29
159949,创业板50ETF,宽基,2024-01-03,2026-06-18,81.18%,-25.35%,69,181177.92
515050,5GETF,科技,2024-01-03,2026-06-18,52.93%,-16.09%,65,152927.85
515700,新能车ETF,新能源,2024-01-03,2026-06-18,43.23%,-18.77%,88,143229.73
510500,中证500ETF,宽基,2024-01-03,2026-06-18,32.94%,-10.60%,77,132943.11
515790,光伏ETF,新能源,2024-01-03,2026-06-18,24.85%,-21.60%,100,124849.2
512100,中证1000ETF,宽基,2024-01-03,2026-06-18,23.11%,-13.77%,66,123108.7
512880,证券ETF,金融,2024-01-03,2026-06-18,17.37%,-19.44%,95,117366.47
510300,沪深300ETF,宽基,2024-01-03,2026-06-18,8.83%,-10.12%,82,108830.94
510880,红利ETF,红利,2024-01-03,2026-06-18,8.71%,-6.04%,79,108711.58
512170,医疗ETF,医药,2024-01-03,2026-06-18,7.36%,-16.28%,96,107362.03
512600,主要消费ETF,消费,2024-01-03,2026-06-18,7.26%,-8.98%,88,107256.97
159928,消费ETF,消费,2024-01-03,2026-06-18,5.23%,-9.15%,93,105227.4
510050,上证50ETF,宽基,2024-01-03,2026-06-18,4.34%,-9.04%,96,104343.59
512010,医药ETF,医药,2024-01-03,2026-06-18,1.92%,-21.38%,110,101922.53
515180,红利ETF易方达,红利,2024-01-03,2026-06-18,0.84%,-9.11%,83,100841.3
512070,非银ETF,金融,2024-01-03,2026-06-18,-2.15%,-13.20%,77,97854.48
512690,酒ETF,消费,2024-01-03,2026-06-18,-10.26%,-21.54%,105,89742.25
516160,新能源ETF,新能源,2024-01-03,2026-06-18,-11.28%,-22.91%,92,88720.57
512800,银行ETF,金融,2024-01-03,2026-06-18,-44.99%,-53.91%,78,55010.2
