code,name,category,selected_variant,train_return,train_drawdown,test_return,test_drawdown,test_trades,test_end_equity
515880,通信ETF国泰,通信,original,21.16%,-13.65%,33.91%,-8.67%,19,133911.84
588200,科创芯片ETF嘉实,科技,original,37.32%,-18.70%,31.77%,-13.70%,13,131770.7
159995,芯片ETF华夏,科技,original,46.77%,-10.88%,31.37%,-13.58%,13,131370.65
512480,半导体ETF,科技,original,37.85%,-8.96%,29.52%,-12.88%,15,129523.45
588080,科创板50ETF,宽基,original,39.19%,-18.23%,27.76%,-7.51%,13,127764.22
588000,科创50ETF,宽基,original,41.74%,-19.03%,27.46%,-7.73%,13,127462.77
515070,人工智能ETF华夏,科技,original,27.33%,-9.89%,25.19%,-5.20%,11,125187.15
159819,人工智能ETF易方达,科技,original,27.31%,-10.02%,25.16%,-5.07%,11,125155.3
159530,机器人ETF易方达,机器人,original,21.60%,-11.41%,13.97%,-6.38%,11,113969.84
159949,创业板50ETF,宽基,original,42.03%,-25.35%,13.13%,-7.67%,22,113134.13
515700,新能车ETF,新能源,original,12.69%,-18.77%,11.45%,-7.59%,15,111445.58
159915,创业板ETF,宽基,original,36.08%,-25.49%,11.39%,-6.68%,21,111385.76
510500,中证500ETF,宽基,original,2.72%,-8.71%,9.88%,-5.62%,11,109879.68
512100,中证1000ETF,宽基,original,1.78%,-10.94%,8.84%,-6.56%,14,108842.34
512660,军工ETF,军工,original,39.02%,-13.40%,6.90%,-4.86%,11,106899.84
512400,有色金属ETF南方,有色金属,original,27.24%,-11.54%,5.09%,-3.94%,11,105094.19
510880,红利ETF,红利,original,5.56%,-3.27%,3.95%,-3.34%,13,103945.25
510300,沪深300ETF,宽基,original,6.39%,-3.33%,1.70%,-4.52%,22,101700.92
512880,证券ETF,金融,trend_exit2,48.39%,-12.12%,0.00%,0.00%,0,100000.0
510050,上证50ETF,宽基,original,2.49%,-2.89%,-0.83%,-3.33%,24,99172.8
