code,date,action,priority,shares,position_stage,price,ma5,ma17,diff,dea,macd_hist,reason
159530,2026-06-21,HOLD,0,0,,1.645,1.615,1.589,0.0098,0.0091,0.0013,无动作
159819,2026-06-21,HOLD,0,0,,2.11,2.028,1.969,0.0395,0.0304,0.0181,无动作
159915,2026-06-21,HOLD,0,0,,4.269,4.175,4.039,0.0859,0.066,0.0397,无动作
510500,2026-06-21,HOLD,0,0,,8.828,8.719,8.446,0.051,-0.0047,0.1114,无动作
512400,2026-06-21,HOLD,0,0,,2.05,2.051,1.97,-0.0065,-0.0267,0.0405,无动作
512660,2026-06-21,HOLD,0,0,,1.29,1.28,1.267,-0.0236,-0.0315,0.0158,无动作
515700,2026-06-21,HOLD,0,0,,2.573,2.58,2.544,-0.0334,-0.0443,0.0219,无动作
515880,2026-06-21,HOLD,0,0,,1.822,1.764,1.67,0.081,0.0704,0.0212,无动作
588080,2026-06-21,HOLD,0,0,,1.953,1.874,1.774,0.0496,0.0336,0.032,无动作
588200,2026-06-21,HOLD,0,0,,4.126,3.93,3.635,0.1707,0.1279,0.0857,无动作
